StationID,City,Population,Country
LOWW,Vienna,1.9,Austria
LOWG,Graz,0.29,Austria
LOWI,Innsbruck,0.13,Austria
LOWK,Klagenfurt,0.1,Austria
LOWL,Linz,0.2,Austria
LOWS,Salzburg,0.16,Austria
EBAW,Antwerp,0.52,Belgium
EBBR,Brussels,1.2,Belgium
EBCI,Charleroi,0.2,Belgium
EBLG,Liege,0.2,Belgium
LQBK,Banja Luka,0.2,Bosnia
LQMO,Mostar,0.11,Bosnia
LBBG,Bourgas,0.2,Bulgaria
LBPD,Plovdiv,0.35,Bulgaria
LBSF,Sofia,1.2,Bulgaria
LBWN,Varna,0.34,Bulgaria
LDOS,Osijek,0.11,Croatia
LDRI,Rijeka,0.13,Croatia
LDSP,Split,0.18,Croatia
LDZA,Zagreb,0.81,Croatia
LCEN,Nicosia,0.12,Cyprus
LKTB,Brno,0.38,Czech_Republic
LKMT,Ostrava,0.29,Czech_Republic
LKPR,Prague,1.3,Czech_Republic
EKYT,Aalborg,0.14,Denmark
EKAH,Aarhus,0.27,Denmark
EKRK,Copenhagen,0.79,Denmark
EKOD,Odense,0.18,Denmark
EETN,Tallinn,0.44,Estonia
EETU,Tartu,0.09,Estonia
EFHK,Helsinki,0.65,Finland
EFJY,Jyvaskyla,0.14,Finland
EFKU,Kuopio,0.12,Finland
EFOU,Oulu,0.2,Finland
EFTP,Tampere,0.24,Finland
EFTU,Turku,0.19,Finland
LFLP,Annecy,0.13,France
LFBD,Bordeaux,0.25,France
LFRB,Brest,0.14,France
LFRK,Caen,0.11,France
LFLC,Clermont-Ferrand,0.14,France
LFSD,Dijon,0.16,France
LFLS,Grenoble,0.16,France
LFOH,Le Havre,0.17,France
LFRM,Le Mans,0.14,France
LFQQ,Lille,0.23,France
LFBL,Limoges,0.13,France
LFLY,Lyon,0.51,France
LFML,Marseille,0.87,France
LFJL,Metz,0.12,France
LFMT,Montpellier,0.29,France
LFSB,Mulhouse,0.11,France
LFSN,Nancy,0.1,France
LFRS,Nantes,0.31,France
LFMN,Nice,0.34,France
LFTW,Nimes,0.15,France
LFOJ,Orleans,0.12,France
LFPO,Paris,2.1,France
LFMP,Perpignan,0.12,France
LFQA,Reims,0.18,France
LFRN,Rennes,0.22,France
LFOP,Rouen,0.11,France
LFMH,St-Etienne,0.17,France
LFST,Strasbourg,0.28,France
LFBO,Toulouse,0.48,France
LFOT,Tours,0.14,France
EDMA,Augsburg,0.3,Germany
EDDB,Berlin,3.8,Germany
EDVE,Braunschweig,0.25,Germany
EDDW,Bremen,0.57,Germany
ETHC,Celle,0.18,Germany
EDDK,Cologne,1.1,Germany
EDLW,Dortmund,0.59,Germany
EDDC,Dresden,0.55,Germany
EDDL,Duesseldorf,0.62,Germany
EDDE,Erfurt,0.21,Germany
EDDF,Frankfurt,0.75,Germany
EDHI,Hamburg,1.9,Germany
EDDV,Hannover,0.54,Germany
ETSI,Ingolstadt,0.14,Germany
EDSB,Karlsruhe,0.31,Germany
EDVK,Kassel,0.2,Germany
EDHK,Kiel,0.25,Germany
EDDP,Leipzig,0.59,Germany
EDHL,Luebeck,0.22,Germany
EDFM,Mannheim,0.31,Germany
EDLN,Moenchengladbach,0.26,Germany
EDDM,Munich,1.5,Germany
EDDG,Munster,0.31,Germany
EDDN,Nuernberg,0.52,Germany
EDLP,Paderborn,0.15,Germany
EDDR,Saarbruecken,0.18,Germany
EDDS,Stuttgart,0.63,Germany
ETOU,Wiesbaden,0.28,Germany
LGAV,Athens,0.66,Greece
LGSA,Chania,0.11,Greece
LGIR,Heraklion,0.17,Greece
LGIO,Ioannina,0.11,Greece
LGKR,Kerkyra,0.1,Greece
LGRX,Patras,0.17,Greece
LGTS,Thessaloniki,0.33,Greece
LHBP,Budapest,1.8,Hungary
LHDC,Debrecen,0.2,Hungary
LHPR,Győr,0.13,Hungary
LHKE,Kecskemet,0.11,Hungary
EIKN,Connaught,0.55,Ireland
EICK,Cork,0.21,Ireland
EIDW,Dublin,0.55,Ireland
EIKY,Kerry,0.15,Ireland
LIPY,Ancona,0.1,Italy
LIBD,Bari,0.33,Italy
LIME,Bergamo,0.12,Italy
LIPE,Bologna,0.39,Italy
LIPB,Bolzano,0.11,Italy
LIPO,Brescia,0.2,Italy
LIEE,Cagliari,0.15,Italy
LICC,Catania,0.31,Italy
LIRQ,Florence,0.38,Italy
LIBF,Foggia,0.15,Italy
LIPK,Forli,0.12,Italy
LIMJ,Genoa,0.58,Italy
LIRL,Latina,0.13,Italy
LICF,Messina,0.23,Italy
LIML,Milan,1.4,Italy
