,Country,Initial,Recovery
0,Italy,0,0
1,India,0,0
2,United-Kingdom,1,0
3,Germany,1,0
4,Belgium,1,1
5,Greece,1,1
6,Slovakia,1,0
7,Lithuania,1,1
8,Portugal,1,0
9,Switzerland,1,0
10,Hungary,1,0
11,Croatia,1,0
12,Poland,1,1
13,Netherlands,1,0
14,Slovenia,1,0
15,Romania,1,1
16,France,1,1
17,Ireland,1,0
18,Austria,1,1
19,Spain,1,0
20,Czech_Republic,1,0
21,Brazil,1,0
22,New_Zealand,1,1
23,Ontario,1,1
24,Mexico,1,0
25,Region_MIDW,1,1
26,Region_CAR,1,0
27,Region_TEN,1,0
28,Region_CAL,1,1
29,Region_NY,1,1
30,Bulgaria,2,1
31,Finland,2,2
32,Estonia,2,1
33,Norway,2,2
34,Denmark,2,1
35,Serbia,2,1
36,Latvia,2,2
37,Sweden,2,2
38,Ukraine,2,2
39,Japan,2,1
40,Chile,2,1
41,Russia,2,1
42,British_Columbia,2,1
43,Australia,2,1
44,Singapore,2,0
45,Alberta,2,1
46,Region_NE,2,1
47,Region_NW,2,2
48,Region_CENT,2,1
49,Region_FLA,2,2
50,Region_SE,2,1
51,Region_TEX,2,1
52,Region_MIDA,2,1
